BIBLIOTECA;MÉTODO;EXCEÇÃO;#ISSUES;#REPOSITÓRIOS;#STACKTRACES
ant-1.10.3.jar;org.apache.tools.ant.DirectoryScanner.scan;java.lang.IllegalStateException;3;1;3
ant-1.10.3.jar;org.apache.tools.ant.dispatch.DispatchUtils.execute;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.dispatch.DispatchUtils.execute;java.lang.RuntimeException;1;1;6
ant-1.10.3.jar;org.apache.tools.ant.dispatch.DispatchUtils.execute;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.dispatch.DispatchUtils.execute;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.helper.DefaultExecutor.executeTargets;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.helper.DefaultExecutor.executeTargets;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.helper.DefaultExecutor.executeTargets;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.helper.SingleCheckExecutor.executeTargets;java.lang.RuntimeException;1;1;5
ant-1.10.3.jar;org.apache.tools.ant.Main.startAnt;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Main.startAnt;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeSortedTargets;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Project.executeSortedTargets;java.lang.RuntimeException;1;1;6
ant-1.10.3.jar;org.apache.tools.ant.Project.executeSortedTargets;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeSortedTargets;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTarget;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTarget;java.lang.RuntimeException;1;1;5
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTarget;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTarget;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTargets;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTargets;java.lang.RuntimeException;1;1;5
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTargets;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Project.executeTargets;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.ProjectHelper.addLocationToBuildException;java.lang.RuntimeException;1;1;4
ant-1.10.3.jar;org.apache.tools.ant.Target.execute;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Target.execute;java.lang.RuntimeException;1;1;6
ant-1.10.3.jar;org.apache.tools.ant.Target.execute;java.lang.StringIndexOutOfBoundsException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Target.execute;org.sonar.api.utils.SonarException;1;1;1
ant-1.10.3.jar;org.apache.tools.ant.Target.performTasks;java.lang.IllegalStateException;2;2;2
ant-1.10.3.jar;org.apache.tools.ant.Target.performTasks;java.lang.RuntimeException;1;1;6
