BIBLIOTECA;MÉTODO;EXCEÇÃO;#ISSUES;#REPOSITÓRIOS;#STACKTRACES
activiti-engine-5.18.0.jar;org.activiti.engine.impl.cmd.AbstractSetProcessDefinitionStateCmd.execute;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.cmd.AbstractSetProcessInstanceStateCmd.execute;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.interceptor.CommandContextInterceptor.execute;org.activiti.engine.ActivitiException;2;1;2
activiti-engine-5.18.0.jar;org.activiti.engine.impl.interceptor.LogInterceptor.execute;org.activiti.engine.ActivitiException;2;1;2
activiti-engine-5.18.0.jar;org.activiti.engine.impl.persistence.entity.TaskEntity.setExecutionVariables;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.persistence.entity.VariableScopeImpl.createVariableLocal;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariable;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariables;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.pvm.runtime.AtomicOperationActivityExecute.execute;org.activiti.engine.impl.pvm.PvmException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.RepositoryServiceImpl.suspendProcessDefinitionById;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.TaskServiceImpl.complete;org.activiti.engine.ActivitiException;1;1;1
activiti-engine-5.18.0.jar;org.activiti.engine.impl.variable.DefaultVariableTypes.findVariableType;org.activiti.engine.ActivitiException;1;1;1
amqp-client-3.0.4.jar;com.rabbitmq.client.impl.AMQChannel.ensureIsOpen;com.rabbitmq.client.AlreadyClosedException;3;3;8
amqp-client-3.0.4.jar;com.rabbitmq.client.impl.AMQChannel.exnWrappingRpc;com.rabbitmq.client.AlreadyClosedException;1;1;5
